Index,KAB_No,Type,C_per_T,Inductance,Py_Volts,Phase1,KVA1,Sy_Volts,Phase2,KVA2,Connections,Rating,Cooling,Th_Cl,KVA_average,Turns,V_per_T,HZ,No_of_Coils,Sections_per_coil,Turns_per_section,Sense_of_winding,Turns_per_layer,No_Of_Layers,Size_of_conductor,Insulation,No_Of_parall_conductors,Wt_of_cu_per_Al_conductor_in_Kg,Former,Coil_dia_inner,Coil_Dia_outer,Ht_of_section_axial,Depth_of_wtg_Radial,Inter_layer_insulation,Radial_spacing,Axial_spacing,Clearance_Bet_Sections,Yoke_clearance,Inter_connection_of_sections,Inter_connection_of_coils,Tappings,Connecting_wirers,Clearance_Bt_Ht_and_Lt,Clearance_in_window,Core,C_D,Ht,Grade,Percentage,Kg,Drg_No,Core_loss,Conductor_loss,Total_losses,Resistance,Ambiant,Windings,Oil,Ohms_at_C,Test_particulars,App_Py_E,App_Sy_E,Induced,Impulse,Specification,Clamp_No,Terminal_board_no,Assy_No,Date
109,KAB 2415,SERIES,,0.0526mH,12,single,,,,,,Cont,AN,H,,4+4=8,,50,2,one,4,L-R,4,one,10x3 cu,F/G covered,"2SS, 6al(Total 12)",20.5,DRG.No: 105 102 413 -P12- 2 Nos,115x163,161(170)x209(220),110(130),23,-,-,-,-,10,-,Series at Finish,-,50x8 Cu busbar,-,20,100x120,190,150,41 CRGO,96,79,DPD 105 105 402 -P3,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,105 009 937 P3,09.08.2011
110,KAB 2414,BUCK BOOST,,,115x3(Trifilar),single,,23,single,16,,Cont,AN,H,,70(Trifilar)/14,1.643,50,"2 Py(Triplar), 2 Sy","one,one","35(Triplar), 7","L-R, L-R","17 1/2, 7","2, one","8x3 Cu, 10x3 Cu","F/G covered, F/G covered","3 ab (Triplar), 2 SS,6 ab (Total 12)","23.5, 35.5",DRG.No: 105 102 413 -P11-2 Nos,"85x128, 141x184","129x172, 185(190)x228(235)","165(190), 175(190)","22, 22","12 Mil Nomex, -",-,-,-,"10,10",-,"Series at Finish, Series at Finish",-,"Same conductor,Same conductor",6 thick F/G duct,15,70x85,205,210,41 CRGO,96,45,DPD 105 102 329 -P9,60 W,580 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 925 P9,10.08.2011
111,KAB 2413,SCVS INPUT(3Ph /1Ph ),,,415,3 Ph  Open Delta,,230,Rev.Open Delta,160,,Cont,AN,H,,78/25,5.32,50,"2 Py , 2 Sy","one,one","78, 25","L-R, L-R","39, 25","2, one","12x3 Cu, 10x3 Cu","F/G covered, F/G covered","3 ab, 2 SS, 6 ab (Total 12)","130,195",DRG.No: 105 102 413-P10-2 Nos,"115x248, 207x340","181x314, 251(265)x384(395)","510(580), 560(580)","33, 22","10 thick F/G duct, -",-,-,-,"10,10",-,"Open Delta, Series at start",-,"Same Conductor, 50x8 Cu.busbar",18 Mil class-'H' insulation on both sides of shield-13 thick,25 (F/G duct b/w shield& Sy wdg),100x205,210,600,41 CRGO,96,442,DPD 105 102 340-P30,550 W,3600 w,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 900 P9,11.08.2011
112,KAB 2412,INVERTER,,,Py1:220/Py2:220,single,,230,single,160,,Cont,AF,H,,40/40/42,5.5,50,"2 Py 1, 2 Py 2, 2Sy","one,one,one","20,20,21","L-R, L-R, L-R","20,20,20","one,one,one","10x3 Cu, 10x3 Cu, 10x3 Cu","F/G covered,F/G covered,F/G covered","2SS,3 ab (Total 6), 2 Ss, 3 ab, 2 SS, 6 ab (Total 12)","52, 63.5, 162.5",DRG.No: 105 102 413-P9-2 Nos,"115x258, 158x301, 201x344","138x281, 181x324, 245(255)x388(400)","455(500), 455(500), 480(500)","11.5, 11.5, 22",-,-,-,-,"10,10,10",-,"*, *, Series at finish ",-,"30x6 Cu busbar, 30x6 busbar, 40x8 busbar",10 thick F/G duct b/w each wdg,20,100x215,275,520,41 CRGO,96,293,DPD 105 102 417 - P1,360 W,3000 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 934 P3,06.09.2011
113,KAB 2411,THIRD HARMONIC,,9mH,85,single,,,,,,Cont,AN,H,,68,,150,one ,one,68,L-R,24,3,13 SWG Cu,SE,one,0.9,"Std bobbin suitable for Type 43,3""stack F/G -1 No",56x82,76x102,68,10,6 Mil class-'H' insulation,-,-,-,-,-,-,-,Same conductor,-,8,"Type43,3"" stack",-,-,51 CRGO,96,8.6,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 335,4 Nos","205 603 338,1 No",105 009 379 *,27.07.2011
114,KAB 2410,SHUNT,,24mH,230,single,,,,,,Cont,AN,H,,174,,50,2,one,87,L-R,29,3,5x3 Cu,F/G covered,one,10.7,DRG.No:105 102 372-P35-2 Nos-F/G,79x122,105(110)x148(155),172(190),13,6 Mil class-'H' insulation,-,-,-,10,-,Series at Finish,-,Same conductor,-,20,70x85,130,210,41 CRGO,96,38,DPD 105 102 201-P29,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,105 009 885 P14,27.07.2011
115,KAB 2409,INTEGRATED 3Ph /1Ph ,,,415,3 Ph  Open Delta,,230,Rev.Open Delta,8.75,,Cont,AN,F,,268/86,1.548,50,"2 Sy, 2 Py","one,one","86, 268","L-R, L-R","28 2/3, 67","3, 4","5x3 Cu, 13 SWG Cu","F/G Covered, SE","one, one","10.5, 16","DRG.Nos:105 102 316-P16-2 Nos,105 102 413-P27-2 Nos","79x117, 106x233","105x143, 132(136)x259(265)","180(190), 180(190)","13,13","6 Mil Nomex, 6 Mil Nomex",-,-,-,"10, 10",-,"Series at Finish, Open Delta",-,"Same conductor,Same conductor","18 Mil Nomex, 26 thick F/G duct b/w Sy wdg & Bobbin of Py, ",27 (6 thick F/G duct on narrow end.),70x80,130,210,41 CRGO,96,70,DPD 105 102 222-P8,85 W,350 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,105 009 946 P2,29.11.2011
116,KAB 2408,SERIES,,0.235mH,5,single,,,,,,Cont,AN,H,,15,,50,one ,one,15,L-R,6,3,8x3 Cu,F/G covered,one,1,"Std bobbin suitab le for Type-43,Sq.stack-F/G- 1 No",56x56,83x83,68,13.5,6 Mil class-'H' insulation,-,-,-,-,-,-,-,same Conductor,-,5,"Type 43,Sq. Stack",-,-,51 CRGO,96,5.7,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 335, 4 Nos","205 603 338, 1 No",105 009 375 *,23.07.2011
117,KAB 2407,SERIES,,1.2mH,12,single,,,,,,Cont,AN,H,,25,,50,one,one,25,L-R,9,3,5X3 Cu,F/G covered,one,1.2,"Std bobbin suitable for Type4 43,3"" stack -F/G -1 No",56x82,83x109,68,13.5,6 Mil class -'H insulation,-,-,-,-,-,-,-,same Conductor,-,5,"Type-43,3"" stack",-,-,51 CRGO,96,8.6,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 335, 4 Nos","205 603 338,1 No",105 009 379 *,22.07.2011
118,KAB 2406,INVERTER,,,131,single,,230,single,8.75,,Cont,AN,H,,82/144,1.6,50,"2 Py, 2 Sy","one, one","41, 72","L-R, L-R","20 1/2, 36","2,2","8x3 Cu, 5x3 Cu","F/G covered, F/G covered","one, one","8, 11",DRG.No: 105 102 413-P7- 2 Nos,"79x127, 109x157","97x145,127(132)x175(180)","190(230), 211(230)","9,9","6 Mil class 'H' insulation, 6 Mil class 'H' insulation",-,-,-,"10,10",-,"Series at Finish ,Series at Finish",-,"Same conductor,Same conductor",6 thick F/G duct,18,70X90,150,250,41 CRGO,96,46,DPD 105 102 329-P8,60 w,350 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 925 P8,21.07.2011
119,KAB 2405,INPUT,,,415,3 Ph  star-N,,157,3 Ph  Delta,23.65,Y d1,Cont,AN,H,,192/126,1.25,50,"3 Py, 3 Sy","one, one","192, 126","L-R, L-R","64,42","3,3","10 SWG Cu, 5x3 Cu","F/G covered, F/G covered","one, one","18.5, 30.5",DRG.No: 105 102 413-P6-3 Nos,"79x107, 123x151","103x131, 147(155)x175(185)","230(260), 245(260)","12, 12 ","6 Mil class 'H' insulation, 6 Mil class 'H' insulation",-,-,-,"10,10",-,"Star at Finish, Delta",-,"Same conductor,Same conductor",10 thick F/G duct,20,70x70,175,280,41 CRGO,96,64,DPD 105 102 287-P24,80 W,1700 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 930 P13,20.07.2011
120,KAB 2404,SERIES,,0.078mH,7,single,,,,,,Cont,AN,H,,5+5=10,,50,2,one,5,L-R,5,one,8X4 Cu,F/G covered,"2 SS, 2 ab (Total:4)",6,DRG.No:105 102 261-P5- 2 Nos,79x117,98(105)x136(145),105(120),9.5,-,-,-,-,10,-,Series at Finish,-,40x3 Cu. Busbar,-,20,70x80,125,140,41 CRGO,96,29,105 102 248 -P9,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,105 009 931 P6,15.07.2011
121,KAB 2403,BOOST,,,122,single,,48,single,30,,Cont,AN,H,,50/20,2.44,50,"2 Py, 2 Sy","one, one","25,10","L-R, L-R","25,10","one, one","8x4 Cu, 10x4 Cu","F/G covered, F/G covered","4 ab, 2SS,4 ab(Total:8)","34, 48",DRG.No: 105 102 413-P5-2 Nos,"85x163, 143x221","123x201, 181(190)x259(275)","230(260), 240(260)","19, 19",-,-,-,-,"10, 10",-,"Series at Finish, Series at Finish",-,"40x3 Cu. Busbar, 40x8 Cu. Busbar",10 thick F/G duct,20,70x120,210,280,41 CRGO,96,72,DPD 105 102 331-P9,95 W,850 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 938 P1,16.07.2011
122,KAB 2402,SVS INPUT,,,415,3 Ph  Open Delta,150,216,single,,,Cont,AN,H,,83/25,5,50,"2 Py, 2 Sy","one, one","83, 25","L-R, L-R","41 1/2, 25","2, 1","12X4 Cu, 10x4 Cu","F/G covered, F/G covered","2 ab, 2 ss, 4 ab (Total 8)","118, 166",DRG.No: 105 102 413-P4-2 Nos,"115x238, 199x322","173x296, 237(250)x 360(375)","545(580), 560(580)","29, 19","10 thick F/G duct,-",-,-,-,"10,10",-,"Open Delta, Series at start",-,"Same conductor,40x8 Cu.busbar",13 thick F/G duct,25,100x195,200,600,41 CRGO,96,415,dpd 105 102 340-p28,520 w,3350 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 900 P8,18.07.2011
123,KAB 2401,D.C FILTER,,0.35mH,196,single,,,,,,Cont,AN ,H,,14+14=28,,300,2,one,14,L-R,one,14,0.6x305 Cu foil,"Bare,Electrolytic,Annealed-Is 3052&Is 1897",one,26,DRG.No: 105 102 261-P3-2 Nos,109x137,139(145)x167(185),305(325),15,6 Mil class-'H' insulation,-,-,-,7.5,-,Series at Finish,-,40x6 Cu.busbar,-,20,100x100,165,340,41 CRGO,96,90,DPD 105 102 399-P3,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,105 009 939 P1,15.07.2011
124,KAB 2400,SERIES,,0.061mH,12,single,,,,,,Cont,AN ,H,,5+5=10,,50,2,one,5,L-R,5,one,10x4 Cu,F/G covered,"2 SS, 4ab (Total:8)",19,DRG.No:105 102 413-P3-2 Nos,115x143,153(165)x181(195),130(150),19,-,-,-,-,10,-,"Series at Finish ,Series at Finish",-,40x8 Cu. B usbar,-,20,100x100,185,170,41 CRGO,96,69,DPD 105 102 402 P2,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,105 009 937 P2,14.07.2011
125,KAB 2399,INVERTER,,,Py1:219/Py2:219,single,,240,single,150,,Cont,AF,H,,40/40/44,5.47,50,"2 Py1 , 2Py 2, 2 Sy","one, one, one","20,20,22","L-R, L-R, L-R","20,20,22","one, one, one","10x4 Cu, 10x4 Cu, 10x4 Cu","F/G covered, F/G covered,F/G covered","2 SS, 2ab(Total:4), 2Ss, 2ab, 2Ss,4ab(Total:8)","46,55,146",DRG.No:105 102 413-P2-2 Nos,"115x258, 154x297, 193x336","134x277, 173x316, 231(240)x374(390)","455(515), 455(515), 495(515)","9.5, 9.5, 19",-,-,-,-,"10,10,10",-,"*, *, Series at finish ",-,"30x6 Cu busbar, 30x6 busbar, 40x8 busbar",10 thick F/G duct each wdg,20,100x215,260,535,41 CRGO,96,292,DPD 105 102 331-P8,360 W,2900 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 934 P2,18.07.2011
126,KAB 2398,INPUT,,,415,3 Ph  Delta,,341,3 Ph  Delta,229,Ddo,Cont,AN,H,,78/64,5.32,50,"3 Py, 3 Sy","one, one","78,64","L-R, L-R","39, 32","2, 2","10x4 Cu, 12x4 Cu","F/G covered, F/G covered","2 ab, 2 ab","137, 189",DRG.No: 105 102 413-P1- 3 Nos,"115x233, 195x313","175x293, 255(265)x373(390)","430(450), 425(4500","30,30","10 thick F/G duct, 10 thick F/G duct",-,-,,"10,10",-,"Delta, Delta",-,"Same Conductor, Same Conductor",10 thick F/G duct,20,100x190,285,470,41 CRGO,96,397,DPD 105 102 340-P27,500 W,4600 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 920 P25,18.07.2011
127,KAB2397,INPUT,,,415,3 Ph  Delta,,341,3 Ph  star-N,229,DY 11,Cont,AN,H,,78/37,5.32,50,"3 Py, 3 Sy","one, one","78,37","L-R, L-R","39, 18 1/2","2,2","10x4 Cu, 10x4 Cu","F/G covered, F/G covered","2 ab, 2 Ss,2ab (Total;40","137, 184",DRG.No: 105 102 413-P1-3 Nos,"115x233, 195x313","175x293, 255(265)x373(390)","430(450), 425(450)","30, 30","10 thick F/G duct, 10 thick F/G duct",-,-,-,"10, 10",-,"Delta, Star at Finish",-,"Same conductor,40x8 Cu.busbar",10 thick F/G duct,20,100x190,285,470,41 CRGO,96,397,DPD 105 102 340-P27,500 W,4600 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 920 P25,18.07.2011
128,KAB 2396,D.C FILTER,,3mH,,single,,,,,,Cont,AN ,F,,31,,100,one,one,31,L-R,7 3/4,4,7x3 Cu,F/G Covered,one,2,"Std bobbin suitable for Type-43,3"" stack-F/G-1No",56x81,88x113,68,16,6 Mil Nomex,-,-,-,-,-,-,-,Same Conductor,-,3,"Type 473, 3"" stack",-,-,51 CRGO,96,8.6,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 335, 4 Nos","205 603 338, 1 No",105 009 379 *,29.06.2011
129,KAB 2395,RECTIFIER,,,240,single,,17,single,0.68,,Cont,AN,F,,210/15,1.14,50,"one Py, one sy","one, one","210, 15","L-R, L-R","39, 7 1/2","6, 2","17 SWG Cu,7x3 Cu","SE, F/G covered","one, one","1.1, 1.2","Std bobbin suitable for Type 43,3""stack F/G -1 No","56x81, 79x104","78x103, 95(96)X120(121)","68,68","11, 8","6 Mil Nomex, 6 Mil Nomex",-,-,-,-,-,-,-,"Same Conductor,Same Conductor",18 Mil Nomex,1,"Type 43, 3"" stack",-,-,51 CRGO,96,8.6,Std,12 W,22 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,"205 200 335, 4 Nos","205 603 338, 2 Nos",105 009 379,28.06.2011
130,KAB 2394,INPUT SERIES,,0.2mH,7.4,single,,,,,,Cont,AN,F,,12,,50,one,one,12,L-R,12,one,7x3 Cu,F/G covered,2 ab,1.9,"Std bobbin suitable for Type-8,4""stack-F/G-1 No",56x107,71x122,110,7.5,-,-,-,-,-,-,-,-,Same Conductor,-,22,"Type-8, 4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 326,4 Nos","205 603 337, 1 No",105 009 402 *,27.06.2011
131,KAB 2393,INVERTER,,,213.5,single,,230,single,24.84,,Cont,AN,F,,128/138,1.66,50,"2 Py, 2 Sy","one, one","64,69","L-R, L-R","32, 34 1/2","2, 2","5x3 Cu, 5x3 Cu","F/G covered, F/G covered","3 ab, 3 ab","30, 52",DRG.No: 105 102 372 -P42-2 Nos,"79x142, 165x228","145x208, 231(235)x294(300)","191(220), 207(220)","33,33","10 thick F/G duct, 10 thick F/G duct",-,-,-,"10, 10",-,"Series at Finish ,Series at Finish",-,"Same Conductor,Same Conductor",10 thick F/G duct,20,70x105,255,240,41 CRGO,96,64,DPD 105 102 329-P7,75 W,1350 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,105 009 925 P7,25.06.2011
132,KAB 2392,INPUT,,,415,3 Ph  star-N,,256,3 Ph  Delta,68.8,Y d1,Cont,AN,F,,71/76,3.37,50,"3 Py, 3 Sy","one, one","71,76","L-R, L-R","35 1/2, 38","2,2","7x3 Cu, 7x3 Cu","F/G covered, F/G covered","one, one","24, 32",DRG.No: 105 102 372-P46 3 Nos,"109x167, 147x205","127x185, 165(167)x223(230)","285(315), 300(315)","9,9","6 Mil Nomex,6 Mil Nomex",-,-,-,"10, 10",-,"Star at Finish, Delta",-,"Same Conductor,Same Conductor",10 thick F/G duct,18,"100x130,",185,335,41 CRGO,96,193,DPD 105 102 287-P23,240 W,2880 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS  11171,,,105 009 930 P12,23.06.2011
133,KAB 2391,D.C FILTER,,1mH,10,single,,,,,,Cont,AN,F,,26,,100,one,one,26,L-R,7 1/2,4,7x3 Cu,F/G Covered,one,1.5,"Std bobbin suitab le for Type-43,Sq.stack-F/G- 1 No",56x56,90x90,68,17,6 Mil Nomex,-,-,-,-,-,-,-,Same Conductor,-,3,"Type 43,Sq. Stack",-,-,51 CRGO,96,5.7,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,"205 200 335, 4 Nos","205 603 338, 1 No",105 009 375  *,05.05.2011
134,KAB 2390,D.C FILTER,,3mH,20,single,,,,,,Cont,AN,F,,46,,100,one,one,46,L-R,13,4,7x3 Cu,F/G Covered,one,2.6,"Std bobbin suitab le for Type-8,Sq.stack-F/G- 1 No",56x56,90x90,110,17,6 Mil Nomex,-,-,-,-,,-,-,Same Conductor,-,12,"Type-8, Sq.stack",-,-,51 CRGO,96,8,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,"205 200 326,4 Nos","205 603 337, 1 No",105 009 400 *,04.05.2011
135,KAB 2389,RECTIFIER,,,230,single,,29,single,1.325,,Cont,AN,F,,220/28,,50,"one Py, one Sy","one, one","220, 28","L-R, L-R","46, 11","5, 3","14 SWG Cu, 8x3 Cu","SE, F/G covered","one, one","2.3, 2.8","Std bobbin suitable for Type-8,3""stack-F/G-1 No","56x82, 83x109","82x108, 111x137","110,110","13,14","6 Mil Nomex,6 Mil Nomex",-,-,-,-,-,-,-,"Same Conductor,Same Conductor",18 Mil nomex,5,"Type-8,3"" stack",-,-,51 CRGO,96,12,Std,20 W,50 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,"205 200 326, 4 Nos","205 603 337, 2 Nos",105 009 403 ,02.05.2011
136,KAB 2388,SHUNT,,8.4mH,230,single,,,,,,Cont,AN,F,,40+40=80,,50,2,one,40,L-R,20,2,7x3 Cu,F/G covered,2 ab,19,DRG.No: 105 102 372-P45-2 Nos,109x152,151(155)x194(200),164(180),21,6 thick F/G duct,-,-,-,10,-,Series at Finish,-,Same Conductor,-,20,100x115,175,200,41 CRGO,96,83,DPD 105 102 201-p28,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,,,105 009 937 P1,27.04.2011
137,KAB 2387,THIRD HARMONIC,,3.15mH,86,single,,,,,,Cont,AN,F,,39,,150,one,one,39,L-R,17,3,5x3 Cu,F/G covered,one,2,"Std bobbin suitable for Type-8,4""stack-F/G-1 No",56X107,81X132,110,12.5,6 Mil Nomex,-,-,-,-,,-,-,Same Conductor,-,15,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,"205 200 326,4 Nos","205 603 337, 1 No",105 009 402 *,30.04.2011
138,KAB 2386,INTEGRATED 3Ph /1Ph ,,,415,3 Ph  Open Delta,,230,Rev.Open Delta,25,,Cont,AN,F,,165/53,2.515,50,"2 Sy, 2 Py","one, one","53, 165","L-R, L-R","26 1/2, 33","2, 5","7X3 Cu, 5x3 Cu","F/G covered, F/G covered","2 ab, one","23, 40",DRG.No: 105 102 413-P26-2 Nos each,"79X167, 113X293","112X200, 157(162)X337(345)",222(230) 204(230),"16.5, 22","6 Mil Nomex,6 Mil Nomex",-,-,-,"10, 10",-,"Series at start, Open delta",-,"Same Conductor,Same Conductor","18 Mil Nomex,15 thick F/G b/*w Sy wdg & bobbin of Py,",29 (10 thick F/G duct on narrow end,70x130,145,250,41 CRGO,96,126,DPD 105 102 222-P7,150 W,700 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,105 009 946 P1,26.11.2011
139,KAB 2385,INVERTER,,0.42mH,11.5,single,,,,,,Cont,AN,F,,15,,50,one,one,15,L-R,12,2,7x3 Cu,F/G covered,2 ab ,2.4,"Std bobbin for Type -8,4""stack F/G-1 No",56x107,87x138,110,15.5,6 Mil Nomex,-,-,-,-,-,-,-,Same Conductor,-,15,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,"205 200 326, 4 Nos","205 603 337,1 No",105 009 402 *,28.04.2011
140,KAB2384,INPUT SERIES,,0.395mH,7.5,single,,,,,,Cont,AN,F,,14,,50,one,one,14,L-R,12,2,7x4 Cu,F/G covered,one,1.4,"Std bobbin suitable for Type-8,4""stack-F/G-1 No",56x107,78x129,110,11,6 Mil Nomex,-,-,-,-,,-,-,Same Conductor,-,20,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,"205 200 326, 4 Nos","205 603 337,1 No",105 009 402 *,28.04.2011
141,KAB 2383,INVERTER,,,220,single,,230,single,20,,Cont,AN,F,,132/138,1.66,50,"2 Py, 2 Sy","one,one","66,69","L-R, L-R","33, 34 1/2","2,2","5x3 Cu, 5x3 Cu","F/G covered, F/G covered","3 ab, 3 ab","31, 52",DRG.No: 105 102 372-P42-2 Nos,"79x142, 165x228","145x208, 231(235)x294(300)","197(220), 207(220)","33,33","10 thick F/G duct, 10 thick F/G duct",-,-,-,"10,10",-,"Series at Finish ,Series at Finish",-,"Same Conductor,Same Conductor",10 thi8ck F/G duct,20,70x105,255,240,41 CRGO,96,64,DPD 105 102 329-P7,75 W,900 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,DGA 105 009 925 P7,20.04.2011
142,KAB 2382,INPUT,,,415,3 Ph  star-N,,252,3 Ph  Delta,25.6,Y d1,Cont,AN ,F,,88/93,2.72,50,"3 Py, 3 Sy","one, one","88,93","L-R, L-R","29 1/3, 31","3, 3","6x3 Cu, 6x3 Cu","F/G covered, F/G covered","one, one","25, 35",DRG.No: 105 102 372-P3-3 Nos,"109x157, 155x203","135x183, 181(185)x229(238)","210(230), 218(230)","13, 13","6 Mil Nomex ,6MIl Nomex",-,-,-,"10,10",-,"Star at Finish, Delta",,"Same conductor, Same conductor",10 thick F/G duct,20,100x120,205,250,41 CRGO,96,163,DPD 105 102 287-P22,200 W ,620 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,105 009 930 P11,18.04.2011
143,KAB 2381,POWER SUPPLY,,,129,single,,26,single,0.39,,Cont,AN ,H,,180/37,0.716,50,"one Py, one Sy","one, one","180, 37","L-R, L-R","38, 19","5, 2","17 SWG Cu,11 SWG Cu","SE,SE","one, one","0.76, 0.82","Std bobbin suitable for Type-43, Sq. Stack-F/G -1 No","56x56, 77x77","76x76, 92x92",68x68,"10, 7.5","6 Mil Nomex,6 Mil Nomex",-,-,-,-,-,-,-,Same copnductor,"18 Mil class-'H"" insulation",3,"Type43,Sq stack",-,-,51 CRGO,96,5.7,Std,12 W,20 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,"205 200 335, 4 Nos","205 603 338, 2 Nos",105 009 375,10.03.2011
144,KAB 2380,BUCK BOOST,,,111.8,single,,24,single,2.5,,Cont,AN,F,,59/12,2.01,50,"one Py, one Sy","one, one","59,12","L-R, L-R","22,5","3,3","4x3 Cu, 8x3 Cu","F/G covered, F/G covered","one, 2 SS","2.8, 3.2","Std bobbin suitable for Type 8B,4""stack -F/G- 1 No","82x107, 109x134","108x133,136x161","110,110","13,13.5","6 Mil Nomex,6 Mil Nomex",-,-,-,-,-,-,-,"Same conductor, Same conductor",18 Mil Nomex,5,"Type-8B,4""stack",-,-,51 CRGO,96,27.5,Std,40 W,75 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,"205 200 327,4 Nos","205 603 336, 2 Nos",105 009 399,11.04.2011
145,KAB 2379,3 Ph  To 1 Ph ,,,415,3 Ph  Open Delta,,240,Rev.Open Delta,24.96,,Cont,AN,F ,,117/39,3.55,50,"2 Py, 2 Sy","one, one","117, 39","L-R, L-R","39,39","3,1","6x3 Cu, 6x3 Cu","F/G covered, F/G covered","one, 3 ab","23, 30.5",DRG.No:105 102 372-P41-2 Nos,"109x167,156x214","136x194, 179(184)x237(245)","272(290), 272(290)","13.5, 11.5",6 Mil Nomex-,-,-,-,"10,10",-,"Open Delta, Series at start",-,"Same conductor, Same conductor",10 thick F/G duct,23,100x130,165,310,41 CRGO,96,178,DPD 105 102 340-P26,220 W,550 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,105 009 900 P7,08.04.2011
146,KAB 2378,INPUT SERIES,,0.16mH,4.5,single,,,,,,Cont,AN,F,,9,,50,one,one,9,L-R,9,one,7x3 Cu,F/G covered,2 ab,1.4,"Std bobbin suitable for Type-8,4""stack-F/G-1 No",56x107,72x123,110,8,-,-,-,-,-,-,-,-,Same conductor,-,15,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,"205 200 326,4 Nos","205 603 337,1 No",105 009 402 *,05.04.2011
147,KAB 2377`,INVERTER SERIES,,0.36mH,12,single,,,,,,Cont,AN ,F,,11+11=22,,50,2,one,11,L-R,11,one,8x3 Cu,F/G covered,2 ab,4.4,DRG.No: 105 102 261-P5-2 Nos,79x117,95(100)x133(140),108(120),8,-,-,-,-,10,-,Series at Finish,-,Same conductor,-,20,70x80,120,140,41 CRGO,96,29,105 102 248-P8,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,,,105 009 931 P5,
